SMARTCITYAI TRAFFIC REPORT

TRAFFIC LOGS
ID,Timestamp,Frame No,Vehicle Count,Car Count,Bike Count,Bus Count,Truck Count,Avg Speed,Congestion
488,2026-06-25 17:05:28,720,3,1,0,1,1,38.13,LOW
487,2026-06-25 17:05:28,660,3,1,0,1,1,38.13,LOW
486,2026-06-25 17:05:27,600,3,1,0,1,1,38.13,LOW
485,2026-06-25 17:05:26,540,3,1,0,1,1,38.13,LOW
484,2026-06-25 17:05:26,480,3,1,0,1,1,38.13,LOW
483,2026-06-25 17:05:25,420,3,1,0,1,1,38.13,LOW
482,2026-06-25 17:05:24,360,3,1,0,1,1,38.13,LOW
481,2026-06-25 17:05:23,300,3,1,0,1,1,38.13,LOW
480,2026-06-25 17:05:22,240,3,1,0,1,1,38.13,LOW
479,2026-06-25 17:05:21,180,3,1,0,1,1,38.13,LOW
478,2026-06-25 17:05:21,120,3,1,0,1,1,38.13,LOW
477,2026-06-25 17:05:20,60,1,0,0,1,0,38.13,LOW
476,2026-06-25 17:05:19,0,0,0,0,0,0,0.0,LOW
475,2026-06-25 17:05:19,720,3,1,0,1,1,38.13,LOW
474,2026-06-25 17:05:18,660,3,1,0,1,1,38.13,LOW
473,2026-06-25 17:05:17,600,3,1,0,1,1,38.13,LOW
472,2026-06-25 17:05:16,540,3,1,0,1,1,38.13,LOW
471,2026-06-25 17:05:15,480,3,1,0,1,1,38.13,LOW
470,2026-06-25 17:05:14,420,3,1,0,1,1,38.13,LOW
469,2026-06-25 17:05:13,360,3,1,0,1,1,38.13,LOW
468,2026-06-25 17:05:13,300,3,1,0,1,1,38.13,LOW
467,2026-06-25 17:05:12,240,3,1,0,1,1,38.13,LOW
466,2026-06-25 17:05:11,180,3,1,0,1,1,38.13,LOW
465,2026-06-25 17:05:10,120,3,1,0,1,1,38.13,LOW
464,2026-06-25 17:05:09,60,1,0,0,1,0,38.13,LOW
463,2026-06-25 17:05:08,0,0,0,0,0,0,0.0,LOW
462,2026-06-25 17:05:07,720,3,1,0,1,1,38.13,LOW
461,2026-06-25 17:05:06,660,3,1,0,1,1,38.13,LOW
460,2026-06-25 17:05:06,600,3,1,0,1,1,38.13,LOW
459,2026-06-25 17:05:05,540,3,1,0,1,1,38.13,LOW
